product_key,product_name,category,subcategory,unit_cost,list_price
1172481,"4K OLED Smart TV 55""",Grocery,Budget,52.77,61.49
208984,Wireless Earbuds Pro,Grocery,Budget,32.01,26.99
1443361,Shower Curtain Liner,Home,Budget,103.1,132.99
680417,Cotton Percale Sheet Set Queen,Home,Premium,98.74,5.0
1415258,Smartwatch Series 5,Electronics,Budget,147.27,56.99
1187377,Stainless Steel Knife Set,Home,Premium,47.68,5.0
1931582,Robot Vacuum Pro,Electronics,Standard,46.55,6.99
1599751,Dash Cam Front & Rear,Grocery,Budget,117.44,123.0
1622870,French Press Coffee Maker,Home,Premium,70.35,16.99
995944,Smart Home Hub,Electronics,Standard,54.98,41.99
1092772,Electric Toothbrush Smart,Electronics,Budget,74.49,90.14
1741345,Dash Cam Front & Rear,Electronics,Budget,130.13,26.99
936787,Webcam 1080p,Grocery,Standard,85.29,16.0
843478,Smart Plug 4-Pack,Grocery,Standard,234.34,5.0
900178,WiFi 6 Router,Grocery,Premium,59.55,15.99
1290127,Webcam 1080p,Electronics,Standard,157.67,33.73
1934854,Instant Pot 6Qt,Home,Premium,67.95,37.99
556121,E-Reader Paperwhite,Electronics,Premium,62.18,401.0
875963,Under-Cabinet LED Lights,Home,Budget,20.34,8.99
778209,Bamboo Cutting Board Set,Home,Standard,199.53,43.99
1745132,Steam Mop,Home,Budget,28.49,11.0
821099,"4K OLED Smart TV 55""",Electronics,Budget,288.04,24.99
247036,Action Camera 4K,Apparel,Standard,46.23,11.95
462972,"27"" Monitor 144Hz",Electronics,Standard,47.67,32.99
1625726,French Press Coffee Maker,Home,Standard,52.65,22.95
511724,"Tablet 10.5"" WiFi",Grocery,Premium,169.99,29.49
374968,Dish Rack Stainless Steel,Home,Premium,58.4,24.99
1056914,Wireless Earbuds Pro,Grocery,Budget,110.24,10.99
1922261,"27"" Monitor 144Hz",Apparel,Standard,71.82,78.0
722889,Steam Mop,Home,Standard,97.8,24.99
1703120,Action Camera 4K,Apparel,Premium,66.05,5.0
1203022,Cotton Percale Sheet Set Queen,Home,Budget,93.38,86.99
416052,Mechanical Keyboard,Electronics,Budget,56.53,16.99
94476,"4K OLED Smart TV 55""",Grocery,Standard,305.22,36.99
708945,Digital Kitchen Scale,Home,Premium,70.89,57.99
1683438,USB-C Laptop Stand,Electronics,Budget,84.09,14.99
638760,Pour-Over Coffee Set,Home,Standard,86.55,30.76
1538188,Webcam 1080p,Electronics,Premium,36.73,56.95
102686,Portable Bluetooth Speaker,Electronics,Standard,58.14,267.0
535798,E-Reader Paperwhite,Electronics,Standard,173.16,20.49
944974,Under-Cabinet LED Lights,Home,Standard,234.72,155.49
565780,Portable Charger 20000mAh,Grocery,Standard,111.71,278.0
1716283,Memory Foam Pillow,Home,Budget,101.03,106.56
1654389,Cordless Vacuum,Home,Standard,63.23,21.99
578645,Webcam 1080p,Electronics,Standard,81.41,74.99
1558021,Silicone Baking Mat Set,Home,Premium,117.99,59.99
1607415,Smart Plug 4-Pack,Apparel,Premium,26.23,11.49
456987,"4K OLED Smart TV 55""",Grocery,Budget,18.64,161.0
1497432,Memory Foam Pillow,Home,Premium,105.99,302.95
1040071,Smartwatch Series 5,Electronics,Standard,21.76,13.99
1074498,Robot Vacuum Pro,Grocery,Premium,55.72,16.69
1927649,Wireless Earbuds Pro,Apparel,Standard,113.26,70.72
1872553,Webcam 1080p,Grocery,Standard,285.99,9.99
477497,Electric Toothbrush Smart,Electronics,Standard,242.0,63.61
1852392,Ceramic Dinnerware Set 12-Piece,Home,Budget,93.49,120.0
1166199,Ergonomic Gaming Mouse,Grocery,Premium,51.47,17.99
1191256,Wireless Earbuds Pro,Electronics,Standard,78.35,10.0
84906,Cotton Percale Sheet Set Queen,Home,Standard,48.81,112.99
409967,Wireless Earbuds Pro,Grocery,Budget,214.1,65.99
478505,Robot Vacuum Pro,Grocery,Premium,97.9,5.0
807720,Wireless Earbuds Pro,Grocery,Budget,103.73,387.99
199280,Stainless Steel Knife Set,Home,Premium,184.62,41.99
303493,Air Purifier HEPA,Home,Standard,29.33,7.49
254319,Robot Vacuum Pro,Apparel,Standard,158.01,25.99
735350,Portable Charger 20000mAh,Apparel,Budget,49.87,737.31
1816843,Robot Vacuum Pro,Apparel,Premium,104.23,305.0
1488068,Cotton Percale Sheet Set Queen,Home,Standard,87.31,32.99
316571,"27"" Monitor 144Hz",Electronics,Standard,67.53,69.99
1378478,Smart Plug 4-Pack,Apparel,Budget,164.16,30.52
1524042,Portable Bluetooth Speaker,Electronics,Standard,53.29,88.99
1539785,Smart LED Desk Lamp,Grocery,Standard,60.83,5.0
1643659,Smart Plug 4-Pack,Electronics,Budget,55.81,11.95
502131,Mechanical Keyboard,Grocery,Standard,111.17,180.49
1136163,Wireless Noise-Cancelling Headphones,Grocery,Budget,68.11,44.0
454603,Robot Vacuum Pro,Electronics,Premium,46.5,232.95
268315,Dish Rack Stainless Steel,Home,Premium,30.48,5.0
849107,Robot Vacuum Pro,Electronics,Premium,135.21,21.99
555423,Wireless Earbuds Pro,Electronics,Premium,54.47,11.95
1958937,Robot Vacuum Pro,Apparel,Standard,173.08,191.99
126956,Ergonomic Gaming Mouse,Grocery,Premium,235.77,9.99
72710,USB-C Laptop Stand,Electronics,Standard,66.64,27.95
699746,Portable Charger 20000mAh,Grocery,Premium,54.8,5.99
268062,Ergonomic Gaming Mouse,Electronics,Premium,52.44,14.36
1589592,Smartwatch Series 5,Grocery,Standard,90.96,58.49
93692,Portable Charger 20000mAh,Grocery,Premium,141.51,5.0
263064,USB-C Laptop Stand,Apparel,Budget,45.45,19.0
950030,Wireless Earbuds Pro,Electronics,Budget,214.3,24.77
68763,French Press Coffee Maker,Home,Budget,176.84,127.99
768286,Silicone Baking Mat Set,Home,Standard,166.97,18.0
1781219,Memory Foam Pillow,Home,Premium,59.24,29.0
1762665,Portable Charger 20000mAh,Electronics,Standard,150.03,54.95
821717,Ergonomic Gaming Mouse,Apparel,Standard,148.02,12.0
800164,Smart Home Hub,Grocery,Standard,86.51,688.99
813743,Smart Plug 4-Pack,Electronics,Premium,76.21,134.0
23311,"Tablet 10.5"" WiFi",Electronics,Budget,153.47,10.99
90921,Smart LED Desk Lamp,Electronics,Budget,12.75,580.49
1510799,Portable Charger 20000mAh,Electronics,Standard,79.17,9.49
1334322,Memory Foam Pillow,Home,Budget,42.7,188.0
546681,"Tablet 10.5"" WiFi",Apparel,Premium,179.11,38.99
1132588,Smart LED Desk Lamp,Electronics,Standard,40.22,54.99
284542,Ergonomic Gaming Mouse,Electronics,Premium,271.47,6.95
606611,Pour-Over Coffee Set,Home,Premium,140.36,30.99
1522268,Ergonomic Gaming Mouse,Grocery,Budget,86.01,41.99
1424950,Smart Plug 4-Pack,Electronics,Standard,82.27,51.95
1697213,Webcam 1080p,Apparel,Premium,73.43,51.99
1379749,Cordless Vacuum,Home,Standard,63.48,84.99
415183,Dash Cam Front & Rear,Apparel,Premium,115.26,22.0
